2019-04-10 05:50:36;8.8.8.8;Up
2019-04-10 05:50:38;8.8.4.4;Up
2019-04-10 05:50:50;8.8.92.2;Down
2019-04-10 05:50:52;203.190.242.211;Up
2019-04-10 05:50:54;103.49.221.211;Up
2019-04-10 05:50:56;202.67.15.202;Up
2019-04-10 05:51:08;10.0.0.3;Down
2019-04-16 06:12:50;8.8.8.8;Up
2019-04-16 06:15:40;8.8.8.8;Up
2019-04-16 06:16:57;8.8.8.8;Up
2019-04-16 06:17:30;8.8.8.8;Up
2019-04-16 06:17:32;8.8.4.4;Up
2019-04-16 06:17:44;8.8.92.2;Down
2019-04-16 06:17:46;203.190.242.211;Up
2019-04-16 06:17:48;103.49.221.211;Up
2019-04-16 06:17:50;202.67.15.202;Up
2019-04-16 06:18:02;10.0.0.3;Down
2019-04-16 06:18:49;8.8.8.8;Up
2019-04-16 06:18:51;8.8.4.4;Up
2019-04-16 06:19:03;8.8.92.2;Down
2019-04-16 06:19:05;203.190.242.211;Up
2019-04-16 06:19:07;103.49.221.211;Up
2019-04-16 06:19:09;202.67.15.202;Up
2019-04-16 06:19:21;10.0.0.3;Down
2019-04-16 06:20:06;8.8.8.8;Up
2019-04-16 06:20:08;8.8.4.4;Up
2019-04-16 06:20:20;8.8.92.2;Down
2019-04-16 06:20:22;203.190.242.211;Up
2019-04-16 06:20:24;103.49.221.211;Up
2019-04-16 06:20:26;202.67.15.202;Up
2019-04-16 06:20:38;10.0.0.3;Down
2019-04-16 06:21:36;8.8.8.8;Up
2019-04-16 06:21:38;8.8.4.4;Up
2019-04-16 06:21:50;8.8.92.2;Down
2019-04-16 06:21:52;203.190.242.211;Up
2019-04-16 06:21:54;103.49.221.211;Up
2019-04-16 06:21:56;202.67.15.202;Up
2019-04-16 06:22:08;10.0.0.3;Down
2019-04-16 06:54:17;8.8.8.8;Up
2019-04-16 06:54:19;8.8.4.4;Up
2019-04-16 06:54:45;8.8.8.8;Up
2019-04-16 06:54:47;8.8.4.4;Up
2019-04-16 06:54:59;8.8.92.2;Down
2019-04-16 06:55:01;203.190.242.211;Up
2019-04-16 06:55:03;103.49.221.211;Up
2019-04-16 06:55:05;202.67.15.202;Up
2019-04-16 06:55:17;10.0.0.3;Down
2019-04-16 07:16:41;8.8.8.8;Up
2019-04-16 07:16:43;8.8.4.4;Up
2019-04-16 08:02:17;8.8.8.8;Up
2019-04-16 08:02:19;8.8.4.4;Up
2019-04-16 08:02:31;8.8.92.2;Down
2019-04-16 08:02:33;203.190.242.211;Up
2019-04-16 08:02:35;103.49.221.211;Up
2019-04-16 08:02:37;202.67.15.202;Up
2019-04-16 08:02:49;10.0.0.3;Down
2019-04-16 08:04:20;203.190.242.211;Up
2019-04-16 08:04:20;202.67.15.202;Up
2019-04-16 08:04:20;103.49.221.211;Up
2019-04-16 08:04:21;8.8.8.8;Up
2019-04-16 08:04:21;8.8.4.4;Up
2019-04-16 08:04:30;8.8.92.2;Down
2019-04-16 08:04:31;10.0.0.3;Down
